From Date,To Date,NO2,Ozone,PM2.5,NO2,State,City,Station,lat,lon
1/1/2015 0:00,1/1/2015 1:00,51.5,105.25,None,51.5,Delhi,Delhi,DTU,28.750616,77.116578
1/1/2015 1:00,1/1/2015 2:00,47,69.75,None,47,Delhi,Delhi,DTU,28.750616,77.116578
1/1/2015 2:00,1/1/2015 3:00,40.5,41.5,None,40.5,Delhi,Delhi,DTU,28.750616,77.116578
1/1/2015 3:00,1/1/2015 4:00,36.75,38.25,None,36.75,Delhi,Delhi,DTU,28.750616,77.116578
1/1/2015 4:00,1/1/2015 5:00,31.75,36,None,31.75,Delhi,Delhi,DTU,28.750616,77.116578
1/1/2015 5:00,1/1/2015 6:00,29,33.5,None,29,Delhi,Delhi,DTU,28.750616,77.116578
1/1/2015 6:00,1/1/2015 7:00,31,34,None,31,Delhi,Delhi,DTU,28.750616,77.116578
1/1/2015 7:00,1/1/2015 8:00,33,35.25,None,33,Delhi,Delhi,DTU,28.750616,77.116578
1/1/2015 8:00,1/1/2015 9:00,33,42.75,None,33,Delhi,Delhi,DTU,28.750616,77.116578
1/1/2015 9:00,1/1/2015 10:00,31,39,None,31,Delhi,Delhi,DTU,28.750616,77.116578
1/1/2015 10:00,1/1/2015 11:00,29.25,34,None,29.25,Delhi,Delhi,DTU,28.750616,77.116578
1/1/2015 11:00,1/1/2015 12:00,29.75,40,None,29.75,Delhi,Delhi,DTU,28.750616,77.116578
1/1/2015 12:00,1/1/2015 13:00,32.5,41.25,None,32.5,Delhi,Delhi,DTU,28.750616,77.116578
1/1/2015 13:00,1/1/2015 14:00,31.5,33.25,None,31.5,Delhi,Delhi,DTU,28.750616,77.116578
1/1/2015 14:00,1/1/2015 15:00,29.25,29,None,29.25,Delhi,Delhi,DTU,28.750616,77.116578
1/1/2015 15:00,1/1/2015 16:00,25.5,24.75,None,25.5,Delhi,Delhi,DTU,28.750616,77.116578
1/1/2015 16:00,1/1/2015 17:00,24,24.75,None,24,Delhi,Delhi,DTU,28.750616,77.116578
1/1/2015 17:00,1/1/2015 18:00,25,23.25,None,25,Delhi,Delhi,DTU,28.750616,77.116578
1/1/2015 18:00,1/1/2015 19:00,28,25.5,None,28,Delhi,Delhi,DTU,28.750616,77.116578
1/1/2015 19:00,1/1/2015 20:00,30.25,35,None,30.25,Delhi,Delhi,DTU,28.750616,77.116578
1/1/2015 20:00,1/1/2015 21:00,46,62,None,46,Delhi,Delhi,DTU,28.750616,77.116578
1/1/2015 21:00,1/1/2015 22:00,69.75,64.5,None,69.75,Delhi,Delhi,DTU,28.750616,77.116578
1/1/2015 22:00,1/1/2015 23:00,74,58,None,74,Delhi,Delhi,DTU,28.750616,77.116578
1/1/2015 23:00,2/1/2015 0:00,66,57,None,66,Delhi,Delhi,DTU,28.750616,77.116578
2/1/2015 0:00,2/1/2015 1:00,53.75,51.75,None,53.75,Delhi,Delhi,DTU,28.750616,77.116578
2/1/2015 1:00,2/1/2015 2:00,46.75,None,None,46.75,Delhi,Delhi,DTU,28.750616,77.116578
2/1/2015 2:00,2/1/2015 3:00,49.5,None,None,49.5,Delhi,Delhi,DTU,28.750616,77.116578
2/1/2015 3:00,2/1/2015 4:00,53.5,None,None,53.5,Delhi,Delhi,DTU,28.750616,77.116578
2/1/2015 4:00,2/1/2015 5:00,51.25,170.5,None,51.25,Delhi,Delhi,DTU,28.750616,77.116578
2/1/2015 5:00,2/1/2015 6:00,46.5,77.5,None,46.5,Delhi,Delhi,DTU,28.750616,77.116578
2/1/2015 6:00,2/1/2015 7:00,39.75,55,None,39.75,Delhi,Delhi,DTU,28.750616,77.116578
2/1/2015 7:00,2/1/2015 8:00,36.75,44,None,36.75,Delhi,Delhi,DTU,28.750616,77.116578
2/1/2015 8:00,2/1/2015 9:00,32.5,32.5,None,32.5,Delhi,Delhi,DTU,28.750616,77.116578
2/1/2015 9:00,2/1/2015 10:00,31.5,25.5,None,31.5,Delhi,Delhi,DTU,28.750616,77.116578
2/1/2015 10:00,2/1/2015 11:00,30.75,23,None,30.75,Delhi,Delhi,DTU,28.750616,77.116578
2/1/2015 11:00,2/1/2015 12:00,28.75,21.5,None,28.75,Delhi,Delhi,DTU,28.750616,77.116578
2/1/2015 12:00,2/1/2015 13:00,29,22.5,None,29,Delhi,Delhi,DTU,28.750616,77.116578
2/1/2015 13:00,2/1/2015 14:00,33.25,25.5,None,33.25,Delhi,Delhi,DTU,28.750616,77.116578
2/1/2015 14:00,2/1/2015 15:00,28.25,17.25,None,28.25,Delhi,Delhi,DTU,28.750616,77.116578
2/1/2015 15:00,2/1/2015 16:00,25.75,15.25,None,25.75,Delhi,Delhi,DTU,28.750616,77.116578
2/1/2015 16:00,2/1/2015 17:00,24.75,30.75,None,24.75,Delhi,Delhi,DTU,28.750616,77.116578
2/1/2015 17:00,2/1/2015 18:00,23.5,16.75,None,23.5,Delhi,Delhi,DTU,28.750616,77.116578
2/1/2015 18:00,2/1/2015 19:00,23,16.25,None,23,Delhi,Delhi,DTU,28.750616,77.116578
2/1/2015 19:00,2/1/2015 20:00,22.75,16.5,None,22.75,Delhi,Delhi,DTU,28.750616,77.116578
2/1/2015 20:00,2/1/2015 21:00,24,20.25,None,24,Delhi,Delhi,DTU,28.750616,77.116578
2/1/2015 21:00,2/1/2015 22:00,23.5,21.25,None,23.5,Delhi,Delhi,DTU,28.750616,77.116578
2/1/2015 22:00,2/1/2015 23:00,22.75,24.25,None,22.75,Delhi,Delhi,DTU,28.750616,77.116578
2/1/2015 23:00,3/1/2015 0:00,24.5,22,None,24.5,Delhi,Delhi,DTU,28.750616,77.116578
3/1/2015 0:00,3/1/2015 1:00,24.75,18,None,24.75,Delhi,Delhi,DTU,28.750616,77.116578
3/1/2015 1:00,3/1/2015 2:00,23.75,15.25,None,23.75,Delhi,Delhi,DTU,28.750616,77.116578
3/1/2015 2:00,3/1/2015 3:00,23,14.25,None,23,Delhi,Delhi,DTU,28.750616,77.116578
3/1/2015 3:00,3/1/2015 4:00,23.75,11.25,None,23.75,Delhi,Delhi,DTU,28.750616,77.116578
3/1/2015 4:00,3/1/2015 5:00,22.25,14,None,22.25,Delhi,Delhi,DTU,28.750616,77.116578
3/1/2015 5:00,3/1/2015 6:00,22,15,None,22,Delhi,Delhi,DTU,28.750616,77.116578
3/1/2015 6:00,3/1/2015 7:00,None,None,None,None,Delhi,Delhi,DTU,28.750616,77.116578
3/1/2015 7:00,3/1/2015 8:00,None,None,None,None,Delhi,Delhi,DTU,28.750616,77.116578
3/1/2015 8:00,3/1/2015 9:00,None,None,None,None,Delhi,Delhi,DTU,28.750616,77.116578
3/1/2015 9:00,3/1/2015 10:00,None,None,None,None,Delhi,Delhi,DTU,28.750616,77.116578
3/1/2015 10:00,3/1/2015 11:00,None,None,None,None,Delhi,Delhi,DTU,28.750616,77.116578
3/1/2015 11:00,3/1/2015 12:00,None,None,None,None,Delhi,Delhi,DTU,28.750616,77.116578
3/1/2015 12:00,3/1/2015 13:00,None,None,None,None,Delhi,Delhi,DTU,28.750616,77.116578
3/1/2015 13:00,3/1/2015 14:00,None,None,None,None,Delhi,Delhi,DTU,28.750616,77.116578
3/1/2015 14:00,3/1/2015 15:00,None,None,None,None,Delhi,Delhi,DTU,28.750616,77.116578
3/1/2015 15:00,3/1/2015 16:00,None,None,None,None,Delhi,Delhi,DTU,28.750616,77.116578
3/1/2015 16:00,3/1/2015 17:00,23,15.5,None,23,Delhi,Delhi,DTU,28.750616,77.116578
3/1/2015 17:00,3/1/2015 18:00,23.75,15.25,None,23.75,Delhi,Delhi,DTU,28.750616,77.116578
3/1/2015 18:00,3/1/2015 19:00,23,15.5,None,23,Delhi,Delhi,DTU,28.750616,77.116578
3/1/2015 19:00,3/1/2015 20:00,23.75,15,None,23.75,Delhi,Delhi,DTU,28.750616,77.116578
3/1/2015 20:00,3/1/2015 21:00,24.75,17.25,None,24.75,Delhi,Delhi,DTU,28.750616,77.116578
3/1/2015 21:00,3/1/2015 22:00,24.75,15.5,None,24.75,Delhi,Delhi,DTU,28.750616,77.116578
3/1/2015 22:00,3/1/2015 23:00,24.25,16,None,24.25,Delhi,Delhi,DTU,28.750616,77.116578
3/1/2015 23:00,4/1/2015 0:00,25.5,16,None,25.5,Delhi,Delhi,DTU,28.750616,77.116578
4/1/2015 0:00,4/1/2015 1:00,26.25,15.5,None,26.25,Delhi,Delhi,DTU,28.750616,77.116578
4/1/2015 1:00,4/1/2015 2:00,24.5,16,None,24.5,Delhi,Delhi,DTU,28.750616,77.116578
4/1/2015 2:00,4/1/2015 3:00,24.5,14.75,None,24.5,Delhi,Delhi,DTU,28.750616,77.116578
4/1/2015 3:00,4/1/2015 4:00,22.75,15,None,22.75,Delhi,Delhi,DTU,28.750616,77.116578
4/1/2015 4:00,4/1/2015 5:00,22,14.5,None,22,Delhi,Delhi,DTU,28.750616,77.116578
4/1/2015 5:00,4/1/2015 6:00,19.75,15.75,None,19.75,Delhi,Delhi,DTU,28.750616,77.116578
4/1/2015 6:00,4/1/2015 7:00,19.75,15,None,19.75,Delhi,Delhi,DTU,28.750616,77.116578
4/1/2015 7:00,4/1/2015 8:00,19.25,15.5,None,19.25,Delhi,Delhi,DTU,28.750616,77.116578
4/1/2015 8:00,4/1/2015 9:00,19,14.75,None,19,Delhi,Delhi,DTU,28.750616,77.116578
4/1/2015 9:00,4/1/2015 10:00,19.5,15.75,None,19.5,Delhi,Delhi,DTU,28.750616,77.116578
4/1/2015 10:00,4/1/2015 11:00,18.75,14.75,None,18.75,Delhi,Delhi,DTU,28.750616,77.116578
4/1/2015 11:00,4/1/2015 12:00,19,15.5,None,19,Delhi,Delhi,DTU,28.750616,77.116578
