From Date,PM2.5,PM10,NO2,SO2,Ozone
2020-01-01 00:00:00,785.0,926.0,85.6,23.349999999999998,3.175
2020-01-01 01:00:00,835.0,974.0,72.525,24.925,
2020-01-01 02:00:00,749.0,928.0,61.474999999999994,25.075,4.35
2020-01-01 03:00:00,659.25,814.0,50.675,27.075,6.3
2020-01-01 04:00:00,669.25,818.0,51.45,24.375,10.025
2020-01-01 05:00:00,459.25,587.75,55.875,15.1,10.35
2020-01-01 06:00:00,390.0,504.25,47.7,12.6,9.024999999999999
2020-01-01 07:00:00,384.5,499.25,50.35000000000001,13.425,7.625
2020-01-01 08:00:00,390.0,512.5,76.575,14.424999999999999,6.800000000000001
2020-01-01 09:00:00,341.5,455.75,80.4,17.700000000000003,5.699999999999999
2020-01-01 10:00:00,304.5,395.0,43.550000000000004,18.45,4.625
2020-01-01 11:00:00,233.75,306.5,26.275,18.1,3.9000000000000004
2020-01-01 12:00:00,171.5,222.75,18.8,18.25,3.125
2020-01-01 13:00:00,146.75,199.25,17.575,16.125,3.05
2020-01-01 14:00:00,135.75,190.0,17.075,16.025000000000002,3.375
2020-01-01 15:00:00,121.25,173.75,16.825,18.375,2.675
2020-01-01 16:00:00,116.5,162.25,19.225,15.625,2.6500000000000004
2020-01-01 17:00:00,126.5,182.5,45.025000000000006,14.3,1.75
2020-01-01 18:00:00,160.0,243.75,87.6,16.049999999999997,1.25
2020-01-01 19:00:00,194.75,285.5,83.375,17.225,0.9249999999999999
2020-01-01 20:00:00,217.5,292.25,73.69999999999999,16.3,1.7
2020-01-01 21:00:00,221.25,291.75,83.125,15.475,1.125
2020-01-01 22:00:00,318.0,405.0,87.1,26.575000000000003,3.1750000000000003
2020-01-01 23:00:00,604.0,753.0,88.775,25.96666666666667,2.675
2020-01-02 00:00:00,127.0,241.25,63.375,8.675,0.425
2020-01-02 01:00:00,155.25,256.75,60.875,9.625,
2020-01-02 02:00:00,146.0,258.75,51.3,9.975,0.875
2020-01-02 03:00:00,135.0,236.75,44.45,11.875000000000002,0.75
2020-01-02 04:00:00,140.25,230.5,39.825,13.100000000000001,0.55
2020-01-02 05:00:00,143.75,232.75,43.425,13.2,0.6000000000000001
2020-01-02 06:00:00,125.5,192.75,39.525,9.875,0.26666666666666666
2020-01-02 07:00:00,104.0,153.75,41.475,7.075,0.6666666666666666
2020-01-02 08:00:00,111.0,173.5,50.949999999999996,7.424999999999999,0.5333333333333333
2020-01-02 09:00:00,99.0,180.0,68.94999999999999,9.125,0.675
2020-01-02 10:00:00,99.75,184.25,59.375,9.525,1.725
2020-01-02 11:00:00,71.5,118.75,37.949999999999996,12.35,2.45
2020-01-02 12:00:00,58.75,100.75,29.775,10.950000000000001,2.55
2020-01-02 13:00:00,49.5,96.75,17.3,9.899999999999999,5.85
2020-01-02 14:00:00,43.25,82.5,22.15,8.925,
2020-01-02 15:00:00,46.75,94.0,18.625,6.9,24.03333333333333
2020-01-02 16:00:00,,,,,
2020-01-02 17:00:00,,,,,
2020-01-02 18:00:00,,,,,
2020-01-02 19:00:00,,,,,
2020-01-02 20:00:00,,,,,
2020-01-02 21:00:00,,,,,
2020-01-02 22:00:00,,,,,
2020-01-02 23:00:00,94.0,175.33333333333334,64.63333333333333,8.05,1.7666666666666666
2020-01-03 00:00:00,19.0,24.0,16.925,9.325,67.375
2020-01-03 01:00:00,23.0,27.0,15.425,8.95,
2020-01-03 02:00:00,20.5,24.75,,,67.15
2020-01-03 03:00:00,13.75,18.5,17.7,12.275,61.3
2020-01-03 04:00:00,17.5,22.25,18.05,12.55,50.10000000000001
2020-01-03 05:00:00,21.5,29.25,24.450000000000003,12.924999999999999,43.95
2020-01-03 06:00:00,19.25,30.25,18.9,12.4,36.4
2020-01-03 07:00:00,21.25,35.75,38.425,11.075000000000001,23.975
2020-01-03 08:00:00,32.75,47.5,19.65,10.625,52.075
2020-01-03 09:00:00,31.5,43.75,20.675000000000004,14.274999999999999,58.325
2020-01-03 10:00:00,36.25,52.25,17.375,16.225,85.125
2020-01-03 11:00:00,31.25,47.25,19.05,16.55,110.77499999999999
2020-01-03 12:00:00,40.5,60.0,20.675,19.675,129.825
2020-01-03 13:00:00,41.0,71.75,23.3,22.174999999999997,147.375
2020-01-03 14:00:00,46.25,80.75,21.599999999999998,21.85,163.35000000000002
2020-01-03 15:00:00,41.25,77.0,19.174999999999997,18.25,140.1
2020-01-03 16:00:00,33.5,61.75,19.05,16.175,139.39999999999998
2020-01-03 17:00:00,35.0,70.75,29.900000000000002,15.475000000000001,118.425
2020-01-03 18:00:00,31.0,76.25,69.925,15.024999999999999,49.175
2020-01-03 19:00:00,28.75,98.25,69.1,15.425,26.700000000000003
2020-01-03 20:00:00,57.5,148.75,90.775,18.05,3.575
2020-01-03 21:00:00,53.75,173.5,87.925,16.6,11.75
2020-01-03 22:00:00,53.25,126.0,81.65,16.725,8.975
2020-01-03 23:00:00,64.5,115.5,50.625,16.1,34.0
2020-01-04 00:00:00,16.5,34.25,11.525,8.475000000000001,41.425000000000004
2020-01-04 01:00:00,26.25,38.25,13.925,8.675,
2020-01-04 02:00:00,25.25,53.25,,,29.775
2020-01-04 03:00:00,28.5,65.75,11.85,9.575,33.6
2020-01-04 04:00:00,27.0,56.0,13.700000000000001,10.350000000000001,25.575
2020-01-04 05:00:00,28.0,55.0,14.399999999999999,9.825,19.200000000000003
2020-01-04 06:00:00,30.0,54.25,18.875,9.85,14.15
2020-01-04 07:00:00,29.75,64.5,18.924999999999997,10.9,23.95
2020-01-04 08:00:00,37.25,73.75,17.424999999999997,12.649999999999999,42.3
2020-01-04 09:00:00,34.0,69.25,13.375,14.725,63.2
2020-01-04 10:00:00,30.25,67.25,10.7,13.45,93.64999999999999
2020-01-04 11:00:00,28.5,65.75,8.75,13.25,116.22500000000001
2020-01-04 12:00:00,28.75,57.25,6.8,13.149999999999999,126.9
2020-01-04 13:00:00,24.75,53.25,5.3999999999999995,12.149999999999999,138.85
2020-01-04 14:00:00,22.0,59.25,4.5,11.925,130.875
2020-01-04 15:00:00,16.25,66.0,4.275,12.625,127.8
2020-01-04 16:00:00,18.75,64.25,5.8500000000000005,11.499999999999998,115.175
2020-01-04 17:00:00,22.25,56.0,5.55,9.975,107.325
2020-01-04 18:00:00,16.25,47.0,6.55,8.75,99.64999999999999
2020-01-04 19:00:00,14.75,46.5,8.325,6.950000000000001,79.775
2020-01-04 20:00:00,17.5,45.5,8.475,7.35,70.025
2020-01-04 21:00:00,21.0,48.5,12.8,7.375,58.925
2020-01-04 22:00:00,27.0,54.0,11.3,8.5,60.375
2020-01-04 23:00:00,28.5,56.75,7.45,10.5,60.575
2020-01-05 00:00:00,58.75,127.5,17.625000000000004,13.6,63.949999999999996
2020-01-05 01:00:00,56.75,103.25,9.5,14.075,
2020-01-05 02:00:00,51.25,95.25,,,57.275000000000006
2020-01-05 03:00:00,48.75,112.5,29.775,12.524999999999999,47.025000000000006
2020-01-05 04:00:00,57.0,113.25,12.725,11.350000000000001,61.85
2020-01-05 05:00:00,,133.5,13.900000000000002,10.399999999999999,45.900000000000006
2020-01-05 06:00:00,,146.5,13.100000000000001,10.25,47.225
2020-01-05 07:00:00,58.0,141.0,9.450000000000001,9.9,65.925
2020-01-05 08:00:00,58.0,130.75,8.075,9.75,69.05
2020-01-05 09:00:00,,140.75,8.200000000000001,11.575000000000001,91.8
2020-01-05 10:00:00,,152.5,7.325,12.825,126.325
2020-01-05 11:00:00,,139.5,3.55,14.575,151.4
2020-01-05 12:00:00,39.0,121.75,2.625,16.0,164.22500000000002
2020-01-05 13:00:00,39.5,119.0,2.95,14.724999999999998,177.25
2020-01-05 14:00:00,42.0,123.25,3.85,15.65,188.825
2020-01-05 15:00:00,45.0,126.0,3.8,14.875,182.575
